listing_url,scrape_id,last_scraped,thumbnail_url,host_name,host_since,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,city,state,zipcode,market,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,jurisdiction_names,instant_bookable,cancellation_policy,reviews_per_month
https://www.airbnb.com/rooms/241032,20160104002432,2016-01-04,,Maija,2011-08-11,96%,100%,3,3,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,47.636.289.038.357.100,-12.237.102.519.997.700,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,$85.00,,,,,2,$5.00,1,365,4 weeks ago,2016-01-04,207,2011-11-01,2016-01-02,95,WASHINGTON,f,moderate,04.07
https://www.airbnb.com/rooms/953595,20160104002432,2016-01-04,https://a0.muscache.com/ac/pictures/14409893/f8e3ed8d_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Andrea,2013-02-21,98%,100%,6,6,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.912.312.136.250,-12.236.566.646.439.500,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,$150.00,"$1,000.00","$3,000.00",$100.00,$40.00,1,$0.00,2,90,today,2016-01-04,43,2013-08-19,2015-12-29,96,WASHINGTON,f,strict,1.48
https://www.airbnb.com/rooms/3308979,20160104002432,2016-01-04,,Jill,2014-06-12,67%,100%,2,2,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,47.629.724.131.577.300,-1.223.694.831.756.170,House,Entire home/apt,11,4.5,5,7,Real Bed,$975.00,,,"$1,000.00",$300.00,10,$25.00,4,30,5 weeks ago,2016-01-04,20,2014-07-30,2015-09-03,97,WASHINGTON,f,strict,1.15
https://www.airbnb.com/rooms/7421966,20160104002432,2016-01-04,,Emily,2013-11-06,N/A,N/A,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,47.638.473.201.766.400,-12.236.927.912.263.000,Apartment,Entire home/apt,3,1.0,0,2,Real Bed,$100.00,$650.00,"$2,300.00",,,1,$0.00,1,1125,6 months ago,2016-01-04,0,,,,WASHINGTON,f,flexible,
https://www.airbnb.com/rooms/278830,20160104002432,2016-01-04,,Emily,2011-11-29,100%,N/A,2,2,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.291.840.276.720,-12.237.247.063.402.200,House,Entire home/apt,6,2.0,3,3,Real Bed,$450.00,,,$700.00,$125.00,6,$15.00,1,1125,7 weeks ago,2016-01-04,38,2012-07-10,2015-10-24,92,WASHINGTON,f,strict,0.89
https://www.airbnb.com/rooms/5956968,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/84791950/f83d59ea_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Andrew,2010-12-25,N/A,N/A,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.052.548.240.190,-12.236.617.406.518.800,House,Private room,2,1.0,1,1,Real Bed,$120.00,$800.00,,,$40.00,1,$30.00,1,6,2 weeks ago,2016-01-04,17,2015-06-11,2015-09-28,95,WASHINGTON,f,strict,2.45
https://www.airbnb.com/rooms/1909058,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/26505642/2c3a36d7_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Gary And Beth,2012-05-30,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.660.544.532.000,-12.236.851.905.844.900,House,Private room,2,1.0,1,1,Real Bed,$80.00,$575.00,,$150.00,,1,$10.00,3,14,5 weeks ago,2016-01-04,58,2014-01-27,2015-12-07,99,WASHINGTON,f,moderate,2.46
https://www.airbnb.com/rooms/856550,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/83538305/d78f8dbd_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Jean-Marc,2012-10-30,100%,100%,5,5,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.764.016.054.121.460,-12.237.585.597.885.700,Cabin,Private room,2,1.0,1,1,Real Bed,$60.00,$360.00,,$150.00,$25.00,1,$0.00,2,7,yesterday,2016-01-04,173,2013-01-03,2016-01-01,97,WASHINGTON,f,strict,4.73
https://www.airbnb.com/rooms/4948745,20160104002432,2016-01-04,https://a0.muscache.com/ac/pictures/85453284/d627f681_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Aliza,2012-04-18,N/A,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98109,Seattle,US,United States,4.763.241.029.982.890,-12.235.721.606.914.000,Apartment,Private room,2,1.0,1,1,Real Bed,$90.00,$500.00,"$1,700.00",,,1,$0.00,3,1125,5 months ago,2016-01-04,8,2015-06-22,2015-08-17,97,WASHINGTON,f,strict,1.22
https://www.airbnb.com/rooms/2493658,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/33003258/f5cb2139_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Andrea,2013-02-21,98%,100%,6,6,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.749.172.022.620,-12.236.688.859.092.100,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,$150.00,"$1,000.00","$3,000.00",$100.00,$40.00,1,$0.00,2,365,today,2016-01-04,32,2014-04-27,2015-12-20,97,WASHINGTON,f,strict,1.55
